episode,reward,loss,epsilon,crops,covered,val_recall,val_crops,val_score
139,5.7,0.9802,0.9061,6,7,,,
140,2.25,1.1499,0.9053,9,4,,,
141,13.1,1.1026,0.9044,13,17,,,
142,40.75,1.0477,0.9039,8,44,,,
143,16.6,1.2854,0.9032,8,20,,,
144,66.4,1.1034,0.9025,8,75,,,
145,-0.75,1.019,0.902,5,0,,,
146,0.0,1.1757,0.9019,0,0,,,
147,1.55,1.1399,0.9009,13,4,,,
148,2.25,1.0702,0.9002,7,4,,,
149,-2.4,1.2541,0.8992,13,0,,,
150,-1.45,1.0205,0.8985,7,0,,,
151,6.15,1.0136,0.8976,9,9,,,
152,0.25,1.087,0.897,5,1,,,
153,2.85,1.3221,0.896,13,9,,,
154,2.6,1.2446,0.8954,7,5,,,
155,4.75,0.8662,0.8947,8,7,,,
156,28.3,1.0959,0.8938,12,33,,,
157,-0.6,1.0823,0.893,8,1,,,
158,7.9,0.8758,0.8927,4,9,,,
159,35.65,1.1467,0.892,9,40,,,
160,2.95,1.1621,0.891,10,5,,,
161,-2.35,1.1225,0.89,13,2,,,
162,42.75,1.1837,0.889,11,49,,,
163,8.25,1.1952,0.888,12,12,,,
164,14.85,1.1674,0.8871,12,18,,,
165,17.75,1.0622,0.8862,11,20,,,
166,12.1,0.93,0.8857,6,15,,,
167,-1.05,0.8636,0.8851,7,0,,,
168,1.9,1.1332,0.8841,13,7,,,
169,48.6,1.2497,0.8833,10,53,,,
170,13.3,1.3205,0.8825,9,16,,,
171,-0.2,1.2683,0.8818,9,2,,,
172,9.6,1.0083,0.8808,13,13,,,
173,15.65,1.2065,0.88,10,22,,,
174,-2.35,1.1903,0.879,13,0,,,
175,-1.45,1.0768,0.878,14,1,,,
176,0.7,1.2246,0.8774,7,2,,,
177,3.5,1.3206,0.8767,7,5,,,
178,0.95,1.2941,0.8762,4,2,,,
179,9.15,1.1166,0.8758,7,11,,,
180,0.95,1.0871,0.8751,7,3,,,
181,5.4,1.1198,0.8744,9,8,,,
182,1.3,1.2078,0.8737,9,5,,,
183,33.9,1.054,0.873,8,37,,,
184,-0.35,1.1766,0.8728,2,0,,,
185,-1.85,1.1981,0.8718,12,0,,,
186,5.0,1.0346,0.8707,11,8,,,
187,19.7,1.2437,0.8698,11,23,,,
188,-0.55,1.0049,0.8696,3,0,,,
189,22.7,1.2673,0.869,7,25,,,
190,33.15,1.1574,0.868,13,43,,,
191,19.5,1.0275,0.8674,8,22,,,
192,-0.55,1.2395,0.8671,3,0,,,
193,2.35,1.3505,0.8669,2,3,,,
194,-0.6,1.1744,0.8666,4,0,,,
195,10.4,0.9308,0.8659,8,15,,,
196,1.7,1.0852,0.8654,8,5,,,
197,-1.45,1.087,0.8647,6,0,,,
198,-2.0,1.0479,0.8641,7,0,,,
199,3.5,1.1601,0.8633,10,6,,,
200,0.5,1.1854,0.8629,3,1,,,
201,8.85,1.0462,0.8622,9,14,,,
202,43.0,1.011,0.8614,10,48,,,
203,4.45,0.8577,0.8607,10,7,,,
204,-0.3,1.1496,0.8602,6,1,,,
205,4.7,1.2793,0.8595,6,8,,,
206,4.95,1.0942,0.8593,2,6,,,
207,14.6,0.8531,0.8586,8,18,,,
208,4.25,0.9941,0.8578,12,8,,,
209,1.9,1.0231,0.8573,4,3,,,
210,8.7,1.3503,0.8568,7,11,,,
211,16.1,1.1261,0.8563,6,18,,,
212,-1.55,1.0768,0.8553,13,1,,,
213,0.85,1.086,0.8543,11,5,,,
214,0.25,1.1217,0.8538,7,2,,,
215,59.6,1.0576,0.853,9,63,,,
216,1.4,1.2067,0.8528,2,2,,,
217,12.0,1.038,0.8524,3,13,,,
218,1.05,1.2092,0.8521,3,2,,,
219,14.05,1.1915,0.8511,11,17,,,
220,5.6,0.9129,0.8509,2,6,,,
221,12.35,1.1641,0.8504,5,14,,,
222,14.0,0.9672,0.8496,7,19,,,
223,6.7,1.1176,0.849,7,10,,,
224,-1.5,1.1737,0.8481,10,0,,,
225,2.15,1.2187,0.8474,11,6,,,
226,36.05,1.2715,0.8464,16,46,,,
227,7.15,1.0973,0.8453,15,12,,,
228,-0.8,1.0998,0.8449,4,0,,,
229,34.6,1.1828,0.8441,9,39,,,
230,4.3,1.1213,0.8434,9,6,,,
231,13.4,1.1498,0.8428,5,16,,,
232,9.45,1.1524,0.8421,10,12,,,
233,0.75,1.0426,0.8413,9,3,,,
234,-0.55,0.9451,0.8408,3,0,,,
235,26.8,1.1203,0.8401,6,30,,,
236,-0.25,1.1188,0.8391,11,2,,,
237,12.5,1.2714,0.8386,5,14,,,
238,-0.9,0.8803,0.8381,6,0,,,
