episode,reward,loss,epsilon,crops,covered,val_recall,val_crops,val_score
1,1.61,0.0,0.9996,3,2,0.2493,3.797,-0.1101
2,8.57,0.0,0.999,5,9,,,
3,8.25,0.0,0.9984,7,9,,,
4,12.81,0.0,0.9978,9,14,,,
5,-0.37,0.0,0.9973,7,0,,,
6,21.62,0.0,0.9965,12,23,,,
7,8.69,0.0,0.9957,9,10,,,
8,20.63,0.0,0.9949,9,22,,,
9,26.63,0.0,0.9944,7,28,,,
10,8.37,0.0,0.9939,3,9,,,
11,19.65,0.0,0.9934,3,20,,,
12,3.76,0.0,0.993,6,5,,,
13,10.51,0.0,0.9927,5,11,,,
14,15.91,0.0,0.9916,13,17,,,
15,9.93,0.0,0.991,7,12,,,
16,12.07,0.0,0.99,11,13,,,
17,2.59,0.0,0.9897,3,3,,,
18,43.85,0.0,0.9887,11,46,,,
19,-0.24,0.0,0.988,10,1,,,
20,0.56,0.0,0.9874,8,1,,,
21,-0.17,0.0,0.9871,3,0,,,
22,7.21,0.0,0.9864,9,8,,,
23,3.42,0.0,0.9859,8,4,,,
24,11.6,0.0,0.9854,6,12,,,
25,18.43,0.0,0.9849,7,19,,,
26,60.07,0.0,0.984,11,62,,,
27,3.01,0.0,0.9832,11,4,,,
28,2.26,0.0,0.9825,8,3,,,
29,-0.3,0.0,0.9819,6,0,,,
30,44.56,0.0,0.9811,8,46,,,
31,2.56,0.0,0.9804,8,3,,,
32,7.96,0.0,0.98,6,9,,,
33,23.17,0.0,0.979,13,25,,,
34,1.63,0.0,0.9785,7,2,,,
35,24.87,0.0,0.9778,9,26,,,
36,2.22,0.0,0.9771,10,3,,,
37,12.61,0.0,0.9764,9,14,,,
38,72.7,0.0,0.9757,10,75,,,
39,1.24,0.0,0.9749,10,2,,,
40,5.3,0.0,0.9743,6,6,,,
41,3.55,0.0,0.9733,11,5,,,
42,12.97,0.0,0.9725,9,14,,,
43,2.44,0.0,0.9719,8,3,,,
44,12.2,0.0,0.9714,6,13,,,
45,6.68,0.0,0.9711,4,7,,,
46,32.76,0.0,0.9707,6,34,,,
47,22.35,0.0,0.9698,11,24,,,
48,31.94,0.0,0.9688,12,34,,,
49,2.12,0.0,0.968,12,3,,,
50,7.36,1.2481,0.9671,10,8,,,
51,4.5,1.2104,0.9664,8,5,,,
52,33.97,1.1457,0.9654,13,36,,,
53,2.38,1.081,0.9648,6,3,,,
54,8.51,1.0836,0.9641,7,9,,,
55,5.44,1.0638,0.9633,10,7,,,
