episode,reward,loss,epsilon,crops,covered,val_recall,val_crops,val_score
138,-0.9,1.0974,0.9068,4,0,,,
139,4.9,1.1239,0.9061,6,7,,,
140,1.6,0.9293,0.9053,8,4,,,
141,9.5,0.9672,0.9044,12,17,,,
142,36.65,1.1158,0.9039,8,44,,,
143,12.55,1.0078,0.9032,8,19,,,
144,51.6,1.1018,0.9025,8,75,,,
145,-0.75,1.252,0.902,5,0,,,
146,0.0,1.4326,0.9019,0,0,,,
147,0.55,1.0211,0.9009,13,4,,,
148,0.85,1.053,0.9002,7,4,,,
149,-3.3,1.0504,0.8992,13,0,,,
150,-2.25,0.9267,0.8985,7,0,,,
151,3.15,1.1309,0.8976,9,9,,,
152,0.25,1.0664,0.897,5,1,,,
153,-5.55,0.949,0.896,13,9,,,
154,-0.1,0.8792,0.8954,7,5,,,
155,2.65,0.8595,0.8947,8,7,,,
156,22.5,0.9828,0.8938,12,33,,,
157,-1.4,1.2087,0.893,8,1,,,
158,6.9,0.9876,0.8927,4,9,,,
159,29.65,1.0883,0.892,9,40,,,
160,1.85,1.046,0.891,10,5,,,
161,-6.85,0.9338,0.89,13,2,,,
162,31.6,1.1236,0.889,11,46,,,
163,4.8,1.1355,0.888,12,12,,,
164,12.15,1.0914,0.8871,12,18,,,
165,16.55,0.9173,0.8862,11,20,,,
166,10.2,1.0356,0.8857,6,15,,,
167,-1.05,0.9529,0.8851,7,0,,,
168,-4.4,1.1629,0.8841,13,7,,,
169,42.8,0.9737,0.8833,10,53,,,
170,10.6,1.0431,0.8825,9,16,,,
171,-1.6,0.9873,0.8818,9,2,,,
172,6.7,0.9836,0.8808,13,13,,,
173,6.4,1.0066,0.88,10,22,,,
174,-3.15,0.9677,0.879,13,0,,,
175,-1.55,0.9778,0.878,14,1,,,
176,0.6,1.005,0.8774,7,3,,,
177,2.75,1.1077,0.8767,7,5,,,
178,0.05,1.1584,0.8762,4,2,,,
179,7.55,1.1734,0.8758,7,11,,,
180,-1.05,1.0319,0.8751,7,3,,,
181,2.9,0.9832,0.8744,9,8,,,
182,-3.4,0.9544,0.8737,9,5,,,
183,30.1,1.1702,0.873,8,37,,,
184,-0.45,0.8617,0.8728,2,0,,,
185,-1.95,0.9835,0.8718,12,0,,,
186,2.3,1.1823,0.8707,11,8,,,
187,16.55,0.9299,0.8698,11,23,,,
188,-0.75,1.3602,0.8696,3,0,,,
189,19.7,0.8977,0.869,8,23,,,
190,21.1,1.0076,0.868,13,43,,,
191,16.4,0.9525,0.8674,8,20,,,
192,-0.75,1.0783,0.8671,3,0,,,
193,1.65,0.8341,0.8669,2,3,,,
194,-0.6,1.1426,0.8666,4,0,,,
195,5.45,0.9887,0.8659,8,14,,,
196,-2.5,0.8571,0.8654,8,5,,,
197,-1.65,1.1009,0.8647,5,0,,,
198,-2.55,0.871,0.8641,6,0,,,
199,3.15,0.9701,0.8633,9,6,,,
200,0.4,1.2217,0.8629,3,1,,,
201,3.5,0.829,0.8622,9,14,,,
202,36.0,1.1281,0.8614,10,48,,,
203,2.35,1.0863,0.8607,10,7,,,
204,-0.05,1.1177,0.8602,5,1,,,
205,-0.1,0.87,0.8595,6,8,,,
206,3.45,0.7017,0.8593,2,6,,,
207,10.2,1.0714,0.8586,8,18,,,
208,-3.15,1.1783,0.8578,11,3,,,
209,0.9,0.9796,0.8573,4,3,,,
210,6.2,1.1355,0.8568,7,11,,,
211,14.25,1.0058,0.8563,5,18,,,
212,-2.75,0.9222,0.8553,13,1,,,
213,-3.55,0.9744,0.8543,11,5,,,
214,-1.15,1.1941,0.8538,7,2,,,
215,49.85,1.0945,0.853,9,56,,,
216,0.8,0.9603,0.8528,2,2,,,
217,10.9,0.9845,0.8524,3,13,,,
218,0.5,0.9278,0.8521,3,2,,,
219,10.5,1.1105,0.8511,11,15,,,
220,5.4,0.7262,0.8509,2,6,,,
221,10.45,1.0646,0.8504,5,13,,,
222,6.1,1.1271,0.8496,7,19,,,
223,2.2,1.2793,0.849,7,10,,,
224,-1.5,1.0544,0.8481,10,0,,,
225,-2.25,1.0433,0.8474,11,6,,,
226,23.05,1.0072,0.8464,14,43,,,
227,1.25,1.1273,0.8453,15,11,,,
228,-1.05,0.9385,0.8449,4,0,,,
229,28.5,1.1289,0.8441,9,39,,,
230,3.6,1.1159,0.8434,9,6,,,
231,9.95,0.869,0.8428,5,14,,,
232,6.25,0.7713,0.8421,10,10,,,
233,-1.05,0.9278,0.8413,9,3,,,
234,-0.75,0.7435,0.8408,3,0,,,
235,22.8,1.0963,0.8401,6,30,,,
236,-1.45,1.064,0.8391,11,2,,,
237,11.0,0.938,0.8386,5,14,,,
238,-0.9,1.1579,0.8381,6,0,,,
239,-0.5,1.2111,0.8376,8,1,,,
240,-13.1,0.9577,0.8366,14,10,,,
241,-1.2,1.0983,0.8362,3,0,,,
242,11.4,1.0572,0.8355,9,18,,,
243,37.35,0.9727,0.8345,8,45,,,
244,11.8,1.0546,0.8338,8,16,,,
245,-1.7,0.9572,0.8328,10,1,,,
246,-0.9,1.023,0.8322,8,6,,,
247,89.7,0.9747,0.8314,10,99,,,
248,8.05,1.0901,0.8305,12,16,,,
249,50.1,1.098,0.8298,8,72,,,
250,-0.75,0.7431,0.8295,3,0,,,
251,4.75,1.2245,0.8287,9,10,,,
252,3.25,0.9895,0.8277,10,10,,,
253,-0.8,1.0869,0.8267,14,7,,,
254,1.8,0.9956,0.8259,9,6,,,
255,-1.65,1.0086,0.8254,5,0,,,
256,4.1,1.3529,0.8251,2,5,,,
257,1.9,0.9682,0.8241,12,4,,,
258,20.95,0.9321,0.823,15,37,,,
259,23.4,1.0695,0.8221,12,39,,,
260,-3.15,1.0023,0.8211,10,3,,,
261,16.35,0.9271,0.8203,10,24,,,
262,6.8,0.9054,0.8197,8,11,,,
263,1.2,1.0795,0.8189,9,3,,,
264,-4.4,1.0471,0.8185,6,1,,,
265,-2.4,1.0076,0.818,5,0,,,
266,5.8,0.9333,0.8173,8,10,,,
267,-0.3,0.8705,0.8172,1,0,,,
268,3.65,1.1106,0.8166,6,5,,,
269,5.5,0.912,0.8157,12,16,,,
270,0.1,1.0282,0.8149,11,7,,,
271,24.8,1.123,0.8143,6,44,,,
272,4.45,1.1192,0.8138,4,7,,,
273,8.6,0.8916,0.8133,5,11,,,
274,7.8,0.8554,0.8124,9,12,,,
275,0.35,0.9432,0.8114,8,2,,,
276,23.85,0.9868,0.8104,13,33,,,
277,57.7,1.1536,0.8096,13,67,,,
278,13.6,0.9087,0.8085,14,22,,,
279,-3.45,0.9048,0.8075,10,3,,,
280,8.4,0.991,0.807,8,12,,,
281,-1.55,1.0416,0.8062,11,4,,,
282,23.3,1.0607,0.8052,10,38,,,
283,4.0,0.9572,0.8042,13,10,,,
284,-1.5,1.0063,0.8037,7,0,,,
285,-0.4,0.9532,0.8032,7,2,,,
286,0.15,0.9085,0.8024,6,3,,,
287,10.75,1.1281,0.8019,6,16,,,
288,-0.15,0.0,0.8018,1,0,,,
289,-3.35,1.23,0.8012,8,1,,,
290,-3.55,0.9612,0.8004,9,2,,,
291,4.15,0.9378,0.8001,4,7,,,
292,0.6,1.0287,0.7991,12,3,,,
293,7.2,0.9743,0.7984,8,9,,,
294,16.95,0.8786,0.7978,6,21,,,
295,-1.2,0.9932,0.7975,5,0,,,
296,6.6,0.8201,0.7966,12,12,,,
297,-0.15,0.5604,0.7964,1,0,,,
298,14.85,1.1074,0.7957,10,18,,,
299,-0.75,0.9194,0.7954,4,0,,,
300,3.75,1.0883,0.7947,6,6,,,
301,-0.85,0.8319,0.7938,9,2,,,
302,16.25,0.973,0.7932,10,20,,,
303,-0.5,0.9894,0.7921,12,4,,,
304,-1.3,0.9841,0.7914,9,2,,,
305,45.15,1.2465,0.7908,7,51,,,
306,2.15,0.989,0.7898,11,11,,,
