episode,reward,loss,epsilon,crops,captured,val_recall,val_crops,val_score
1,-8.0,0.0,0.9996,5,2.0,0.9915,11.961,-0.5037
2,-1.0,0.0,0.999,5,9.0,,,
3,-5.0,0.0,0.9984,7,9.0,,,
4,-10.0,0.0,0.9978,5,0.0,,,
5,-4.0,0.0,0.9973,2,0.0,,,
6,0.0,0.0,0.9965,5,10.0,,,
7,-6.0,0.0,0.9957,5,4.0,,,
8,4.0,0.0,0.9949,6,16.0,,,
9,12.0,0.0,0.9944,3,18.0,,,
10,-2.0,0.0,0.9939,6,10.0,,,
11,-5.0,0.0,0.9934,5,5.0,,,
12,-2.0,0.0,0.993,1,0.0,,,
13,-3.0,0.0,0.9927,2,1.0,,,
14,-11.0,0.0,0.9916,7,3.0,,,
15,1.0,0.0,0.991,4,9.0,,,
16,-9.0,0.0,0.99,10,11.0,,,
17,-2.0,0.0,0.9897,2,2.0,,,
18,4.0,0.0,0.9887,8,20.0,,,
19,-6.0,0.0,0.988,3,0.0,,,
20,-7.0,0.0,0.9874,4,1.0,,,
21,-2.0,0.0,0.9871,1,0.0,,,
22,4.0,0.0,0.9864,6,16.0,,,
23,-2.0,0.0,0.9859,1,0.0,,,
24,5.0,0.0,0.9854,4,13.0,,,
25,0.0,0.0,0.9849,2,4.0,,,
26,10.0,0.0,0.984,5,20.0,,,
27,-12.0,0.0,0.9832,11,10.0,,,
28,-8.0,0.0,0.9825,5,2.0,,,
29,-8.0,0.0,0.9819,4,0.0,,,
30,32.0,0.0,0.9811,5,42.0,,,
31,-14.0,0.0,0.9804,8,2.0,,,
32,-2.0,0.0,0.98,1,0.0,,,
33,12.0,0.0,0.979,8,28.0,,,
34,-6.0,0.0,0.9785,4,2.0,,,
35,6.0,0.0,0.9778,6,18.0,,,
36,-4.0,0.0,0.9771,4,4.0,,,
37,-1.0,0.0,0.9764,4,7.0,,,
38,32.0,0.0,0.9757,5,42.0,,,
39,-10.0,0.0,0.9749,5,0.0,,,
40,-9.0,0.0,0.9743,5,1.0,,,
41,-12.0,0.0,0.9733,7,2.0,,,
42,-12.0,0.0,0.9725,8,4.0,,,
43,-8.0,0.0,0.9719,4,0.0,,,
44,1.0,0.0,0.9714,3,7.0,,,
45,-2.0,0.0,0.9711,1,0.0,,,
46,6.0,0.0,0.9707,3,12.0,,,
47,-2.0,0.0,0.9698,5,8.0,,,
48,-1.0,0.0,0.9688,8,15.0,,,
49,-5.0,0.0,0.968,3,1.0,,,
50,-16.0,1.5408,0.9671,8,0.0,,,
51,-18.0,0.8598,0.9664,9,0.0,,,
52,-6.0,0.8731,0.9654,8,10.0,,,
53,-6.0,0.9712,0.9648,4,2.0,,,
54,3.0,0.7266,0.9641,9,21.0,,,
55,-7.0,0.8454,0.9633,5,3.0,,,
56,1.0,0.9832,0.9623,10,21.0,,,
57,-15.0,0.953,0.9613,8,1.0,,,
58,-2.0,1.0483,0.961,1,0.0,,,
59,-1.0,1.0963,0.9602,5,9.0,,,
60,-7.0,1.0994,0.9592,8,9.0,,,
61,7.0,0.9515,0.9582,6,19.0,,,
62,-12.0,0.9182,0.9574,6,0.0,,,
63,4.0,0.8163,0.9573,1,6.0,,,
64,-2.0,1.0956,0.9569,1,0.0,,,
65,-16.0,0.9277,0.9562,10,4.0,,,
66,-2.0,0.7799,0.9557,4,6.0,,,
67,-6.0,0.5334,0.9554,3,0.0,,,
68,4.0,0.9722,0.9543,8,20.0,,,
69,-9.0,0.9545,0.9535,6,3.0,,,
70,-8.0,0.8186,0.9529,4,0.0,,,
71,-2.0,0.8455,0.9524,3,4.0,,,
72,-2.0,0.9294,0.9521,3,4.0,,,
73,-9.0,0.8587,0.9517,5,1.0,,,
74,1.0,0.7593,0.9511,8,17.0,,,
75,-5.0,1.0007,0.9507,3,1.0,,,
76,-11.0,0.7401,0.9499,8,5.0,,,
77,-9.0,0.8609,0.9493,5,1.0,,,
78,-9.0,0.8545,0.9486,6,3.0,,,
79,-10.0,0.9758,0.9477,8,6.0,,,
80,-14.0,0.8087,0.9467,7,0.0,,,
81,-9.0,0.7361,0.946,6,3.0,,,
82,-6.0,0.9145,0.9454,4,2.0,,,
83,-2.0,0.9356,0.9453,1,0.0,,,
84,-7.0,0.9242,0.9447,4,1.0,,,
85,-8.0,0.8644,0.9441,5,2.0,,,
86,-8.0,0.8838,0.9432,5,2.0,,,
87,16.0,0.8578,0.9425,5,26.0,,,
