episode,reward,loss,epsilon,crops,captured,val_recall,val_crops,val_score
127,7.5,0.7264,0.9157,9,12.0,,,
128,10.0,0.7417,0.9153,2,11.0,,,
129,2.5,0.8379,0.9144,7,6.0,,,
130,27.5,0.7753,0.9135,5,30.0,,,
131,2.5,0.8745,0.9125,7,6.0,,,
132,24.5,0.8697,0.9115,11,30.0,,,
133,8.0,0.9217,0.9105,6,11.0,,,
134,2.0,0.883,0.9095,10,7.0,,,
135,1.5,0.887,0.9092,3,3.0,,,
136,3.5,0.7211,0.9082,7,7.0,,,
137,-3.0,0.6668,0.9072,8,1.0,,,
138,-1.5,0.7533,0.9068,3,0.0,,,
139,14.5,0.8244,0.9061,7,18.0,,,
140,-3.5,0.8463,0.9053,7,0.0,,,
141,0.0,0.8949,0.9044,6,3.0,,,
142,17.5,0.8852,0.9039,7,21.0,,,
143,2.5,1.0939,0.9032,7,6.0,,,
144,31.0,0.7978,0.9025,4,33.0,,,
145,-2.0,0.9875,0.902,4,0.0,,,
146,-1.0,0.6979,0.9019,2,0.0,,,
147,1.0,0.8049,0.9009,8,5.0,,,
148,2.5,0.8345,0.9002,5,5.0,,,
149,-3.0,0.8593,0.8992,6,0.0,,,
150,-2.5,0.9353,0.8985,5,0.0,,,
151,5.0,0.7636,0.8976,8,9.0,,,
152,-2.5,0.6883,0.897,5,0.0,,,
153,4.5,0.7781,0.896,7,8.0,,,
154,-2.0,0.7953,0.8954,4,0.0,,,
155,3.0,0.868,0.8947,4,5.0,,,
156,18.5,0.79,0.8938,5,21.0,,,
157,0.5,0.8609,0.893,3,2.0,,,
158,4.5,1.1475,0.8927,1,5.0,,,
159,15.0,0.7762,0.892,6,18.0,,,
160,-4.0,0.8117,0.891,10,1.0,,,
161,-4.0,0.9526,0.89,8,0.0,,,
162,24.5,0.8207,0.889,7,28.0,,,
163,2.5,0.9842,0.888,7,6.0,,,
164,10.0,0.7582,0.8871,8,14.0,,,
165,11.5,0.8851,0.8862,9,16.0,,,
166,25.0,0.9485,0.8857,6,28.0,,,
167,-2.0,0.79,0.8851,4,0.0,,,
168,0.0,0.8388,0.8841,8,4.0,,,
169,26.0,0.867,0.8833,4,28.0,,,
170,16.5,0.8254,0.8825,7,20.0,,,
171,-0.5,1.0121,0.8818,5,2.0,,,
172,-2.0,0.7248,0.8808,8,2.0,,,
173,16.0,0.6118,0.88,6,19.0,,,
174,-2.5,1.0062,0.879,5,0.0,,,
175,-1.5,0.9091,0.878,3,0.0,,,
176,-1.5,0.7681,0.8774,7,2.0,,,
177,3.5,0.8151,0.8767,7,7.0,,,
178,3.0,0.729,0.8762,4,5.0,,,
179,0.0,0.9251,0.8758,2,1.0,,,
180,-2.5,0.8094,0.8751,5,0.0,,,
181,-3.0,0.9011,0.8744,6,0.0,,,
182,-1.0,0.7362,0.8737,2,0.0,,,
183,0.0,0.8805,0.873,4,2.0,,,
184,-1.5,0.6915,0.8728,3,0.0,,,
185,-3.0,0.8434,0.8718,6,0.0,,,
186,9.0,0.8993,0.8707,10,14.0,,,
187,18.0,0.8701,0.8698,6,21.0,,,
188,-0.5,1.3007,0.8696,1,0.0,,,
189,26.0,0.9558,0.869,6,29.0,,,
190,28.5,0.8548,0.868,7,32.0,,,
191,19.5,0.9803,0.8674,7,23.0,,,
192,-0.5,0.9778,0.8671,1,0.0,,,
193,-0.5,1.0388,0.8669,1,0.0,,,
194,-0.5,0.8522,0.8666,1,0.0,,,
195,3.0,0.8856,0.8659,4,5.0,,,
196,-0.5,1.1735,0.8654,3,1.0,,,
197,-3.0,0.8127,0.8647,6,0.0,,,
198,-2.5,0.8049,0.8641,5,0.0,,,
199,-3.5,0.8448,0.8633,7,0.0,,,
200,6.0,0.8482,0.8629,4,8.0,,,
201,12.5,0.9359,0.8622,7,16.0,,,
202,42.0,0.8517,0.8614,6,45.0,,,
203,-1.5,0.7604,0.8607,3,0.0,,,
204,0.0,0.9605,0.8602,8,4.0,,,
205,24.0,1.0244,0.8595,6,27.0,,,
206,2.0,0.7641,0.8593,2,3.0,,,
207,2.0,0.9218,0.8586,6,5.0,,,
208,-4.0,0.8935,0.8578,8,0.0,,,
209,-2.0,1.0556,0.8573,4,0.0,,,
210,11.0,0.9021,0.8568,6,14.0,,,
211,4.5,0.7479,0.8563,3,6.0,,,
212,-2.0,0.997,0.8553,4,0.0,,,
213,-2.0,0.7316,0.8543,8,2.0,,,
214,-1.0,0.7475,0.8538,2,0.0,,,
215,87.0,0.7582,0.853,8,91.0,,,
216,3.0,0.9229,0.8528,2,4.0,,,
217,1.0,0.8518,0.8524,2,2.0,,,
218,4.0,0.6831,0.8521,4,6.0,,,
219,2.5,0.7828,0.8511,7,6.0,,,
220,1.5,0.7301,0.8509,1,2.0,,,
221,8.0,0.7494,0.8504,4,10.0,,,
222,4.0,0.8161,0.8496,6,7.0,,,
223,-2.5,0.8856,0.849,5,0.0,,,
224,-4.0,0.8957,0.8481,8,0.0,,,
225,-1.5,0.8609,0.8474,3,0.0,,,
226,19.5,1.0127,0.8464,9,24.0,,,
227,-2.0,1.0633,0.8453,6,1.0,,,
228,1.0,0.6093,0.8449,4,3.0,,,
229,0.0,0.8977,0.8441,6,3.0,,,
230,0.0,1.0113,0.8434,4,2.0,,,
231,18.0,1.0189,0.8428,6,21.0,,,
232,2.0,0.8314,0.8421,6,5.0,,,
233,0.0,0.7966,0.8413,8,4.0,,,
234,-2.5,1.0343,0.8408,5,0.0,,,
235,15.5,1.0426,0.8401,9,20.0,,,
236,-2.0,0.7898,0.8391,10,3.0,,,
237,2.5,0.7732,0.8386,3,4.0,,,
238,-3.0,0.9025,0.8381,6,0.0,,,
239,-1.0,0.8523,0.8376,4,1.0,,,
240,-0.5,0.9268,0.8366,7,3.0,,,
241,-1.0,0.9248,0.8362,4,1.0,,,
242,0.0,0.7599,0.8355,4,2.0,,,
243,45.0,0.811,0.8345,12,51.0,,,
244,2.5,1.0,0.8338,5,5.0,,,
245,-3.0,0.881,0.8328,10,2.0,,,
246,2.0,0.863,0.8322,6,5.0,,,
247,31.0,0.8257,0.8314,4,33.0,,,
248,19.0,0.953,0.8305,8,23.0,,,
249,72.0,0.8774,0.8298,8,76.0,,,
250,-1.0,1.0142,0.8295,2,0.0,,,
251,13.5,1.091,0.8287,9,18.0,,,
252,8.5,0.7266,0.8277,9,13.0,,,
253,-3.0,0.8685,0.8267,8,1.0,,,
254,2.5,0.8808,0.8259,5,5.0,,,
255,-2.0,1.0565,0.8254,4,0.0,,,
256,4.0,0.8911,0.8251,4,6.0,,,
257,-2.0,0.9281,0.8241,8,2.0,,,
258,14.0,0.8236,0.823,8,18.0,,,
259,44.0,0.9673,0.8221,10,49.0,,,
260,-4.5,1.0257,0.8211,9,0.0,,,
261,23.5,0.9808,0.8203,7,27.0,,,
262,11.5,0.9636,0.8197,5,14.0,,,
263,-0.5,0.9319,0.8189,5,2.0,,,
264,-0.5,1.3163,0.8185,1,0.0,,,
265,-3.0,1.0001,0.818,6,0.0,,,
266,4.5,0.9397,0.8173,5,7.0,,,
267,-0.5,1.2265,0.8172,1,0.0,,,
268,2.5,1.0833,0.8166,7,6.0,,,
269,2.5,0.7458,0.8157,5,5.0,,,
270,-3.5,0.9173,0.8149,7,0.0,,,
271,36.0,1.0087,0.8143,8,40.0,,,
272,6.0,0.9524,0.8138,4,8.0,,,
273,9.0,1.0407,0.8133,4,11.0,,,
274,20.0,0.9953,0.8124,8,24.0,,,
275,-2.5,1.0412,0.8114,7,1.0,,,
276,21.0,0.9478,0.8104,10,26.0,,,
277,28.5,1.059,0.8096,7,32.0,,,
278,12.5,0.8381,0.8085,9,17.0,,,
279,-4.5,0.9975,0.8075,9,0.0,,,
280,6.5,0.9839,0.807,3,8.0,,,
281,1.0,1.0855,0.8062,6,4.0,,,
282,58.5,0.9197,0.8052,11,64.0,,,
283,13.5,0.8091,0.8042,7,17.0,,,
